Table,tag,,
ConstraintTable,ConstraintField,ConstraintEquivalence,ColumnConstrained
Data,,,
name,description,tag_type_code,misc,c1_lat,c1_long,c2_lat,c2_long,active
DCL-C101,Crude Tank 1 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C102,Crude Tank 2 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C103,Crude Tank 3 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C104,Crude Tank 4 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C105,Crude Tank 5 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C106,Crude Tank 6 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C107,Crude Tank 7 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C108,Crude Tank 8 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C109,Crude Tank 9 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C110,Crude Tank 10 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C111,Crude Tank 11 Level,AI,,,-75.625879,,-75.625140,Y
DCL-C112,Crude Tank 12 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G101,Gasoline Tank 1 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G102,Gasoline Tank 2 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G103,Gasoline Tank 3 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G104,Gasoline Tank 4 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G105,Gasoline Tank 5 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G106,Gasoline Tank 6 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G107,Gasoline Tank 7 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G108,Gasoline Tank 8 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G109,Gasoline Tank 9 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G110,Gasoline Tank 10 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G111,Gasoline Tank 11 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G112,Gasoline Tank 12 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G113,Gasoline Tank 13 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G114,Gasoline Tank 14 Level,AI,,,-75.625879,,-75.625140,Y
DCL-G115,Gasoline Tank 15 Level,AI,,,-75.625879,,-75.625140,Y
DCL-J101,Jet Fuel Tank 1 Level,AI,,,-75.625879,,-75.625140,Y
DCL-J102,Jet Fuel Tank 2 Level,AI,,,-75.625879,,-75.625140,Y
DCL-J103,Jet Fuel Tank 3 Level,AI,,,-75.625879,,-75.625140,Y
DCL-J104,Jet Fuel Tank 4 Level,AI,,,-75.625879,,-75.625140,Y
DCL-J105,Jet Fuel Tank 5 Level,AI,,,-75.625879,,-75.625140,Y
