Table,tag,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence,2ndTable,2ndField,2ndEquivalence
Data,,,
name,description,tag_type_code,misc,c1_lat,c1_long,c2_lat,c2_long,active
CT01-L,Crude Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT02-L,Crude Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT03-L,Crude Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT04-L,Crude Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT05-L,Crude Tank 5 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT06-L,Crude Tank 6 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT07-L,Crude Tank 7 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT08-L,Crude Tank 8 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT09-L,Crude Tank 9 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT10-L,Crude Tank 10 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT11-L,Crude Tank 11 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT12-L,Crude Tank 12 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT01-L,Gasoline Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT02-L,Gasoline Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT03-L,Gasoline Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT04-L,Gasoline Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT05-L,Gasoline Tank 5 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT06-L,Gasoline Tank 6 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT07-L,Gasoline Tank 7 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT08-L,Gasoline Tank 8 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT09-L,Gasoline Tank 9 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT10-L,Gasoline Tank 10 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT11-L,Gasoline Tank 11 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT12-L,Gasoline Tank 12 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT13-L,Gasoline Tank 13 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT14-L,Gasoline Tank 14 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
GT15-L,Gasoline Tank 15 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT01-L,Jet Fuel Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT02-L,Jet Fuel Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT03-L,Jet Fuel Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT04-L,Jet Fuel Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT05-L,Jet Fuel Tank 5 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT06-L,Jet Fuel Tank 6 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT07-L,Jet Fuel Tank 7 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT08-L,Jet Fuel Tank 8 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT09-L,Jet Fuel Tank 9 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT10-L,Jet Fuel Tank 10 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT11-L,Jet Fuel Tank 11 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
JT12-L,Jet Fuel Tank 12 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT01-L,Fuel Oil Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT02-L,Fuel Oil Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT03-L,Fuel Oil Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT04-L,Fuel Oil Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT05-L,Fuel Oil Tank 5 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT06-L,Fuel Oil Tank 6 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT07-L,Fuel Oil Tank 7 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT08-L,Fuel Oil Tank 8 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT09-L,Fuel Oil Tank 9 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT10-L,Fuel Oil Tank 10 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
FT11-L,Fuel Oil Tank 11 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
RT01-L,Residual Fuel Oil Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
RT02-L,Residual Fuel Oil Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
RT03-L,Residual Fuel Oil Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
NT01-L,Naptha Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
NT02-L,Naptha Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
NT03-L,Naptha Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
NT04-L,Naptha Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
AT01-L,Asphalt Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
AT02-L,Asphalt Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
AT03-L,Asphalt Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
AT04-L,Asphalt Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
LT01-L,Lubricant Tank 1 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
LT02-L,Lubricant Tank 2 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
LT03-L,Lubricant Tank 3 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
LT04-L,Lubricant Tank 4 Level,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT01-T,Crude Tank 1 Temperature,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT02-T,Crude Tank 2 Temperature,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT03-T,Crude Tank 3 Temperature,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
CT04-T,Crude Tank 4 Temperature,AI,NULL,NULL,-75.625879,NULL,-75.62514,Y
