Table,tag,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence,2ndTable,2ndField,2ndEquivalence
Data,,,
name,description,tag_type_code,misc,c1_lat,c1_long,c2_lat,c2_long,active
RU1CP-DI,On/Off sensor Unit 1 Crude Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1GP-DI,On/Off sensor Unit 1 Gasoline Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1FOP-DI,On/Off sensor Unit 1 Fuel Oil Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1JP-DI,On/Off sensor Unit 1 Jet Fuel Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1RFP-DI,On/Off sensor Unit 1 RFO Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1LRP-DI,On/Off sensor Unit 1 LRG Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1AP-DI,On/Off Unit 1 Asphalt Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU1LP-DI,On/Off sensor Unit 1 Lubricant Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2CP-DI,On/Off sensor Unit 2 Crude Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2GP-DI,On/Off sensor Unit 2 Gasoline Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2FOP-DI,On/Off sensor Unit 2 Fuel Oil Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2JP-DI,On/Off sensor Unit 2 Jet Fuel Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2RFP-DI,On/Off sensor Unit 2 RFO Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2LRP-DI,On/Off sensor Unit 2 LRG Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2AP-DI,On/Off sensor Unit 2 Asphalt Pump,DI,None,None,-75.625879,None,-75.62514,Y
RU2LP-DI,On/Off sensor Unit 2 Lubricant Pump,DI,None,None,-75.625879,None,-75.62514,Y
SB1P2-DI,OnOff state for slip 1 Pump 2,DI,None,None,-75.625879,None,-75.62514,Y
SB1P3-DI,OnOff state for slip 1 Pump 3,DI,None,None,-75.625879,None,-75.62514,Y
SB1P4-DI,OnOff state for slip 1 Pump 4,DI,None,None,-75.625879,None,-75.62514,Y
SB2P1-DI,OnOff state for slip 2 Pump 1,DI,None,None,-75.625879,None,-75.62514,Y
SB2P2-DI,OnOff state for slip 2 Pump 2,DI,None,None,-75.625879,None,-75.62514,Y
SB2P3-DI,OnOff state for slip 2 Pump 3,DI,None,None,-75.625879,None,-75.62514,Y
SB2P4-DI,OnOff state for slip 2 Pump 4,DI,None,None,-75.625879,None,-75.62514,Y
SB1P1-DI,OnOff state for slip 1 Pump 1,DI,None,None,-75.625879,None,-75.62514,Y
TT2Here-DI,Tank Truck Present Position 2,DI,None,None,None,None,None,Y
TT1Here-DI,Tank Truck Present Position 1,DI,None,None,None,None,None,Y
TC1Here-DI,Tank Car Present Position 1,DI,None,None,None,None,None,Y
TC2Here-DI,Tank Car Present Position 2,DI,None,None,None,None,None,Y
TC3Here-DI,Tank Car Present Position 3,DI,None,None,None,None,None,Y
TC4Here-DI,Tank Car Present Position 4,DI,None,None,None,None,None,Y
TC5Here-DI,Tank Car Present Position 5,DI,None,None,None,None,None,Y
TC6Here-DI,Tank Car Present Position 6,DI,None,None,None,None,None,Y
Ship2-DI,Ship Present slip 2,DI,None,None,None,None,None,Y
Ship1-DI,Ship Present slip 1,DI,None,None,None,None,None,Y
Ship3-DI,Ship Present slip 3,DI,None,None,None,None,None,Y
Ship4-DI,Ship Present slip 4,DI,None,None,None,None,None,Y
CT01-PoDI,On/Off sensor Crude Tank 1 Pump,DI,None,None,None,None,None,Y
CT02-PoDI,On/Off sensor Crude Tank 2 Pump,DI,None,None,None,None,None,Y
CT03-PoDI,On/Off sensor Crude Tank 3 Pump,DI,None,None,None,None,None,Y
CT04-PoDI,On/Off sensor Crude Tank 4 Pump,DI,None,None,None,None,None,Y
CT05-PoDI,On/Off sensor Crude Tank 5 Pump,DI,None,None,None,None,None,Y
CT06-PoDI,On/Off sensor Crude Tank 6 Pump,DI,None,None,None,None,None,Y
CT07-PoDI,On/Off sensor Crude Tank 7 Pump,DI,None,None,None,None,None,Y
CT08-PoDI,On/Off sensor Crude Tank 8 Pump,DI,None,None,None,None,None,Y
CT09-PoDI,On/Off sensor Crude Tank 9 Pump,DI,None,None,None,None,None,Y
CT10-PoDI,On/Off sensor Crude Tank 10 Pump,DI,None,None,None,None,None,Y
CT11-PoDI,On/Off sensor Crude Tank 11 Pump,DI,None,None,None,None,None,Y
CT12-PoDI,On/Off sensor Crude Tank 12 Pump,DI,None,None,None,None,None,Y
CT01-ViDI,Crude Tank 1 Valve,DI,None,None,None,None,None,Y
CT02-ViDI,Crude Tank 2 Valve,DI,None,None,None,None,None,Y
CT03-ViDI,Crude Tank 3 Valve,DI,None,None,None,None,None,Y
CT04-ViDI,Crude Tank 4 Valve,DI,None,None,None,None,None,Y
CT05-ViDI,Crude Tank 5 Valve,DI,None,None,None,None,None,Y
CT06-ViDI,Crude Tank 6 Valve,DI,None,None,None,None,None,Y
CT07-ViDI,Crude Tank 7 Valve,DI,None,None,None,None,None,Y
CT08-ViDI,Crude Tank 8 Valve,DI,None,None,None,None,None,Y
CT09-ViDI,Crude Tank 9 Valve,DI,None,None,None,None,None,Y
CT10-ViDI,Crude Tank 10 Valve,DI,None,None,None,None,None,Y
CT11-ViDI,Crude Tank 11 Valve,DI,None,None,None,None,None,Y
CT12-ViDI,Crude Tank 12 Valve,DI,None,None,None,None,None,Y
FOT01-ViDI,Fuel Oil Tank 1 Valve,DI,None,None,None,None,None,Y
FOT01-VoDI,Fuel Oil Tank 1 Valve,DI,None,None,None,None,None,Y
FOT01-PoDI,Fuel Oil Tank 1 Pump,DI,None,None,None,None,None,Y
FOT02-ViDI,Fuel Oil Tank 2 Valve,DI,None,None,None,None,None,Y
FOT02-VoDI,Fuel Oil Tank 2 Valve,DI,None,None,None,None,None,Y
