Table,tag,,
ConstraintTable,ConstraintField,ConstraintEquivalence,ColumnConstrained
Data,,,
name,description,tag_type_code,misc,c1_lat,c1_long,c2_lat,c2_long,active
RU1CP-DO,On/Off switch Unit 1 Crude Pump,DO,,,-75.625879,,-75.625140,Y
RU1GP-DO,On/Off switch Unit 1 Gasoline Pump,DO,,,-75.625879,,-75.625140,Y
RU1FOP-DO,On/Off switch Unit 1 Fuel Oil Pump,DO,,,-75.625879,,-75.625140,Y
RU1JP-DO,On/Off switch Unit 1 Jet Fuel Pump,DO,,,-75.625879,,-75.625140,Y
RU1RFP-DO,On/Off switch Unit 1 RFO Pump,DO,,,-75.625879,,-75.625140,Y
RU1LRP-DO,On/Off switch Unit 1 LRG Pump,DO,,,-75.625879,,-75.625140,Y
RU1AP-DO,On/Off switch Unit 1 Asphalt Pump,DO,,,-75.625879,,-75.625140,Y
RU1LP-DO,On/Off switch Unit 1 Lubricant Pump,DO,,,-75.625879,,-75.625140,Y
RU2CP-DO,On/Off switch Unit 2 Crude Pump,DO,,,-75.625879,,-75.625140,Y
RU2GP-DO,On/Off switch Unit 2 Gasoline Pump,DO,,,-75.625879,,-75.625140,Y
RU2FOP-DO,On/Off switch Unit 2 Fuel Oil Pump,DO,,,-75.625879,,-75.625140,Y
RU2JP-DO,On/Off switch Unit 2 Jet Fuel Pump,DO,,,-75.625879,,-75.625140,Y
RU2RFP-DO,On/Off switch Unit 2 RFO Pump,DO,,,-75.625879,,-75.625140,Y
RU2LRP-DO,On/Off switch Unit 2 LRG Pump,DO,,,-75.625879,,-75.625140,Y
RU2AP-DO,On/Off switch Unit 2 Asphalt Pump,DO,,,-75.625879,,-75.625140,Y
RU2LP-DO,On/Off switch Unit 2 Lubricant Pump,DO,,,-75.625879,,-75.625140,Y
SB1P2-DO,On/Off switch for Slip 1 Pump 2,DO,,,-75.625879,,-75.625140,Y
SB1P3-DO,On/Off switch for Slip 1 Pump 3,DO,,,-75.625879,,-75.625140,Y
SB1P4-DO,On/Off switch for Slip 1 Pump 4,DO,,,-75.625879,,-75.625140,Y
SB2P1-DO,On/Off switch for Slip 2 Pump 1,DO,,,-75.625879,,-75.625140,Y
SB2P2-DO,On/Off switch for Slip 2 Pump 2,DO,,,-75.625879,,-75.625140,Y
SB2P3-DO,On/Off switch for Slip 2 Pump 3,DO,,,-75.625879,,-75.625140,Y
SB2P4-DO,On/Off switch for Slip 2 Pump 4,DO,,,-75.625879,,-75.625140,Y
SB1P1-DO,On/Off switch for Slip 1 Pump 1,DO,,,,,,Y
CT01-P-DO,On/Off sensor Crude Tank 1 Pump,DO,,,,,,Y
CT02-P-DO,On/Off sensor Crude Tank 2 Pump,DO,,,,,,Y
CT03-P-DO,On/Off sensor Crude Tank 3 Pump,DO,,,,,,Y
CT04-P-DO,On/Off sensor Crude Tank 4 Pump,DO,,,,,,Y
CT05-P-DO,On/Off sensor Crude Tank 5 Pump,DO,,,,,,Y
CT06-P-DO,On/Off sensor Crude Tank 6 Pump,DO,,,,,,Y
CT07-P-DO,On/Off sensor Crude Tank 7 Pump,DO,,,,,,Y
CT08-P-DO,On/Off sensor Crude Tank 8 Pump,DO,,,,,,Y
CT09-P-DO,On/Off sensor Crude Tank 9 Pump,DO,,,,,,Y
CT10P-DO,On/Off sensor Crude Tank 10 Pump,DO,,,,,,Y
CT11P-DO,On/Off sensor Crude Tank 11 Pump,DO,,,,,,Y
CT12P-DO,On/Off sensor Crude Tank 12 Pump,DO,,,,,,Y
CT01-1V-D0,Crude Tank 1 Valve,DO,,,,,,Y
CT02-1V-D0,Crude Tank 2 Valve,DO,,,,,,Y
CT03-1V-D0,Crude Tank 3 Valve,DO,,,,,,Y
CT04-1V-D0,Crude Tank 4 Valve,DO,,,,,,Y
CT05-1V-D0,Crude Tank 5 Valve,DO,,,,,,Y
CT06-1V-D0,Crude Tank 6 Valve,DO,,,,,,Y
CT07-1V-D0,Crude Tank 7 Valve,DO,,,,,,Y
CT08-1V-D0,Crude Tank 8 Valve,DO,,,,,,Y
CT09-1V-D0,Crude Tank 9 Valve,DO,,,,,,Y
CT10-1V-D0,Crude Tank 10 Valve,DO,,,,,,Y
CT11-1V-D0,Crude Tank 11 Valve,DO,,,,,,Y
CT12-1V-D0,Crude Tank 12 Valve,DO,,,,,,Y
PV11-DO,Pipe Valve-Unit 1, Tanks 1-4,DO,,,,,,Y
PV21-DO,Pipe Valve-Unit 2, Tanks 1-4,DO,,,,,,Y
PV12-DO,Pipe Valve-Unit 1, Tanks 5-8,DO,,,,,,Y
PV22-DO,Pipe Valve-Unit 2, Tanks 5-8,DO,,,,,,Y
PV13-DO,Pipe Valve-Unit 1, Tanks 9-12,DO,,,,,,Y
PV23-DO,Pipe Valve-Unit 2, Tanks 9-12,DO,,,,,,Y
