Table,tag,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence,2ndTable,2ndField,2ndEquivalence
Data,,,
name,description,tag_type_code,misc,c1_lat,c1_long,c2_lat,c2_long,active
RU1CP-DO,On/Off switch RU1 Crude Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1GP-DO,On/Off switch RU1 Gasoline Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1FOP-DO,On/Off switch RU1 Fuel Oil Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1JP-DO,On/Off switch RU1 Jet Fuel Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1RFP-DO,On/Off switch RU1 RFO Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1LRP-DO,On/Off switch RU1 LRG Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1AP-DO,On/Off switch RU1 Asphalt Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU1LP-DO,On/Off switch RU1 Lubricant Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2CP-DO,On/Off switch RU2 Crude Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2GP-DO,On/Off switch RU2 Gasoline Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2FOP-DO,On/Off switch RU2 Fuel Oil Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2JP-DO,On/Off switch RU2 Jet Fuel Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2RFP-DO,On/Off switch RU2 RFO Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2LRP-DO,On/Off switch RU2 LRG Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2AP-DO,On/Off switch RU2 Asphalt Pump,DO,None,None,-75.625879,None,-75.62514,Y
RU2LP-DO,On/Off switch RU2 Lube Pump,DO,None,None,-75.625879,None,-75.62514,Y
SB1P2-DO,On/Off switch for Slip 1 Pump 2,DO,None,None,-75.625879,None,-75.62514,Y
SB1P3-DO,On/Off switch for Slip 1 Pump 3,DO,None,None,-75.625879,None,-75.62514,Y
SB1P4-DO,On/Off switch for Slip 1 Pump 4,DO,None,None,-75.625879,None,-75.62514,Y
SB2P1-DO,On/Off switch for Slip 2 Pump 1,DO,None,None,-75.625879,None,-75.62514,Y
SB2P2-DO,On/Off switch for Slip 2 Pump 2,DO,None,None,-75.625879,None,-75.62514,Y
SB2P3-DO,On/Off switch for Slip 2 Pump 3,DO,None,None,-75.625879,None,-75.62514,Y
SB2P4-DO,On/Off switch for Slip 2 Pump 4,DO,None,None,-75.625879,None,-75.62514,Y
SB1P1-DO,On/Off switch for Slip 1 Pump 1,DO,None,None,None,None,None,Y
CT01-PoDO,On/Off switch Crude Tk 1 Pump,DO,None,None,None,None,None,Y
CT02-PoDO,On/Off switch Crude Tk 2 Pump,DO,None,None,None,None,None,Y
CT03-PoDO,On/Off switch Crude Tk 3 Pump,DO,None,None,None,None,None,Y
CT04-PoDO,On/Off switch Crude Tk 4 Pump,DO,None,None,None,None,None,Y
CT05-PoDO,On/Off switch Crude Tk 5 Pump,DO,None,None,None,None,None,Y
