Table,tag,,,,,,,
ConstraintTable,ConstraintField,ConstraintEquivalence,ColumnConstrained,,,,,
Data,,,,,,,,
name,description,tag_type_code,misc,c1_lat,c1_long,c2_lat,c2_long,active
CTPipe01,Pipe Tk1,SCO,P,120,158,120,183,Y
CTPipe02,Pipe Tk2 ,SCO,P,120,228,120,252,Y
CTPipe03,Pipe Tk3 ,SCO,P,120,298,120,323,Y
CTPipe04,Pipe Tk4,SCO,P,120,373,120,398,Y
CTPipe05,Pipe Tk5,SCO,P,337,158,337,183,Y
CTPipe06,Pipe Tk6,SCO,P,337,228,337,252,Y
CTPipe07,Pipe Tk7,SCO,P,337,298,337,323,Y
CTPipe08,Pipe Tk8,SCO,P,337,373,337,398,Y
CTPipe09,Pipe Tk9,SCO,P,544,158,544,183,Y
CTPipe10,Pipe Tk10,SCO,P,544,228,544,252,Y
CTPipe11,Pipe Tk11,SCO,P,544,298,544,323,Y
CTPipe12,Pipe Tk12,SCO,P,544,373,544,398,Y
CTV012,Valve out Tk1 to RU2,SCO,VH,128,178,148,158,Y
CTV022,Valve out Tk2 to RU2,SCO,VH,128,247,148,252,Y
CTV032,Valve out Tk3 to RU2,SCO,VH,128,318,148,322,Y
CTV042,Valve out Tk4 to RU2,SCO,VH,128,393,148,397,Y
CTV052,Valve out Tk5 to RU2,SCO,VH,344,178,366,182,Y
CTV062,Valve out Tk6 to RU2,SCO,VH,344,247,366,252,Y
CTV072,Valve out Tk7 to RU2,SCO,VH,344,318,366,322,Y
CTV082,Valve out Tk8 to RU2,SCO,VH,344,393,366,397,Y
CTV092,Valve out Tk9 to RU2,SCO,VH,486,158,526,178,Y
CTV102,Valve out Tk10 to RU2,SCO,VH,486,228,526,248,Y
CTV112,Valve out Tk11 to RU2,SCO,VH,486,298,526,318,Y
CTV122,Valve out Tk12 to RU2,SCO,VH,486,373,526,393,Y
