Table,rel_tag_tag,,
ConstraintTable,ConstraintField,ConstraintEquivalence,
tag,id,name,parent_tag_id
tag,id,name,child_tag_id
Data,,,
parent_tag_id,child_tag_id,code
3WayValve,RU1CP-DI,null
3WayValve,RU1CP-DO,null
3WayVlvBtm,RU1CP-DI,null
3WayVlvLft,RU1CP-DI,null
3WayVlvRt,RU1CP-DI,null
AsfaltUnit,NT04,null
AsfaltUnit,AT01,null
AsfaltUnit,AT02,null
AsfaltUnit,AT03,null
AsfaltUnit,AT04,null
Asphalts,NT04,null
Asphalts,AT01,null
Asphalts,AT02,null
Asphalts,AT04,null
Asphalts,AT03,null
AT01,AT01-L,null
AT01,AT01-T,null
AT01,AT01-Vi,INL
AT01,AT01-Vo,OUTL
AT01,AT01-Pmp,OUTL
AT01-Pmp,AT01-PoDI,OUTL
AT01-Pmp,AT01-PoDO,OUTL
AT01-Vi,AT01-ViDI,INL
AT01-Vi,AT01-ViDO,INL
AT01-Vo,AT01-VoDI,OUTL
AT01-Vo,AT01-VoDO,OUTL
AT02,AT02-L,null
AT02,AT02-T,null
AT02,AT02-Vi,INL
AT02,AT02-Vo,OUTL
AT02,AT02-Pmp,OUTL
AT02-Pmp,AT02-PoDI,OUTL
AT02-Pmp,AT02-PoDO,OUTL
AT02-Vi,AT02-ViDI,INL
AT02-Vi,AT02-ViDO,INL
AT02-Vo,AT02-VoDI,OUTL
AT02-Vo,AT02-VoDO,OUTL
AT03,AT03-L,null
AT03,AT03-T,null
AT03,AT03-Vi,INL
AT03,AT03-Vo,OUTL
AT03,AT03-Pmp,OUTL
AT03-Pmp,AT03-PoDI,OUTL
AT03-Pmp,AT03-PoDO,OUTL
AT03-Vi,AT03-ViDI,INL
AT03-Vi,AT03-ViDO,INL
AT03-Vo,AT03-VoDI,OUTL
AT03-Vo,AT03-VoDO,OUTL
AT04,AT04-L,null
AT04,AT04-T,null
AT04,AT04-Vi,INL
AT04,AT04-Vo,OUTL
AT04,AT04-Pmp,OUTL
AT04-Pmp,AT04-PoDI,OUTL
AT04-Pmp,AT04-PoDO,OUTL
AT04-Vi,AT04-ViDI,INL
AT04-Vi,AT04-ViDO,INL
AT04-Vo,AT04-VoDI,OUTL
AT04-Vo,AT04-VoDO,OUTL
CDC01,CT01-L,null
CDC02,CT02-L,null
CDC03,CT03-L,null
CDC04,CT04-L,null
CDC05,CT05-L,null
CDC06,CT06-L,null
CDC07,CT07-L,null
CDC08,CT08-L,null
CDC09,CT09-L,null
CDC10,CT10-L,null
CDC11,CT11-L,null
CDC12,CT12-L,null
CDP-CT01,CT01-ViDI,null
CDP-CT02,CT02-ViDI,null
CDP-CT03,CT03-ViDI,null
CDP-CT04,CT05-ViDI,null
CDP-CT05,CT05-ViDI,null
CDP-CT06,CT06-ViDI,null
CDP-CT07,CT07-ViDI,null
CDP-CT08,CT08-ViDI,null
CDP-CT09,CT09-ViDI,null
CDP-CT10,CT10-ViDI,null
CDP-CT11,CT11-ViDI,null
CDP-CT12,CT12-ViDI,null
CDP-CT5,CT05-ViDI,null
CDP-D1-1,Ship1-DI,null
CDP-D2-1,Ship2-DI,null
CDP-D2-3,D12-DI,null
CDP-D3-1,,null
CDP-D3-4,D123-DI,null
CDP-D4-1,Ship4-DI,null
CDP-D4-Tks,D1234-DI,null
CDP-DCT-1,Ship1-DI,null
CDP-DCT-2,D1234-DI,null
CDShip1,Ship1-DI,null
CDShip2,Ship2-DI,null
CDShip3,,null
CDShip4,Ship4-DI,null
CDVi01,CT01-ViDI,null
CDVi01,CT01-ViDO,null
CDVi02,CT02-ViDI,null
CDVi02,CT02-ViDO,null
CDVi03,CT03-ViDI,null
CDVi03,CT03-ViDO,null
CDVi04,CT04-ViDI,null
CDVi04,CT04-ViDO,null
CDVi05,CT05-ViDI,null
CDVi05,CT05-ViDO,null
CDVi06,CT06-ViDI,null
CDVi06,CT06-ViDO,null
CDVi07,CT07-ViDI,null
CDVi07,CT07-ViDO,null
CDVi08,CT08-ViDI,null
CDVi08,CT08-ViDO,null
CDVi09,CT09-ViDI,null
CDVi09,CT09-ViDO,null
CDVi10,CT10-ViDI,null
CDVi10,CT10-ViDO,null
CDVi11,CT11-ViDI,null
CDVi11,CT11-ViDO,null
CDVi12,CT12-ViDI,null
CDVi12,CT12-ViDO,null
Com011-CV,CT011-VoDI,1
Com011-CV,CT021-VoDI,2
Com012-CV,CT051-VoDI,1
Com012-CV,CT061-VoDI,2
Com013-CV,CT091-VoDI,1
Com013-CV,CT101-VoDI,2
Com014-CV,CT031-VoDI,1
Com014-CV,CT041-VoDI,2
Com015-CV,CT071-VoDI,1
Com015-CV,CT081-VoDI,2
Com016-CV,CT111-VoDI,1
Com016-CV,CT121-VoDI,2
Com021-CV,CT012-VoDI,1
Com021-CV,CT022-VoDI,2
Com022-CV,CT052-VoDI,1
Com022-CV,CT062-VoDI,2
Com023-CV,CT092-VoDI,1
Com023-CV,CT102-VoDI,2
Com024-CV,CT032-VoDI,1
Com024-CV,CT042-VoDI,2
Com025-CV,CT082-VoDI,1
Com025-CV,CT072-VoDI,2
Com026-CV,CT112-VoDI,1
Com026-CV,CT122-VoDI,2
Crude,CT01,null
Crude,CT02,null
