Table,tag_type,,
ConstraintTable,ConstraintField,ConstraintEquivalence,ColumnConstrained
Data,,,
code,name,description,js_draw_file,active
AI,AnalogInput,Field sensor analog,None,Y
AO,AnalogOutput,Analog Output value,None,Y
CB,ControlBlock,Field control device,None,Y
DI,DigitalInput,Field sensor digital,None,Y
DO,DigitalOutput,Digital output,None,Y
FLD,Field,Refinery field,None,Y
P,Pipe,Field pipe,None,Y
TK,Tank,Liquid container,None,Y
V,Valve,Valve,None,Y
XFR,Transfer,Defines the exchange of material,None,Y
TC,TankCar,Railroad tank car,None,Y
PU,ProcessUnit,Refinery Process Unit,None,Y
S,Ship,Ship,None,Y
TT,TankTruck,Tank truck,None,Y
HS,Hot Spot,Hot spot (link to another page),None,Y
DK,Dock,DockNumber,None,Y
RU,RefineryUnit,Refinery Unit,None,Y
SCM,Schematic,Refinery Schematic,None,Y
C,CalculatedVariable,Calculated Variable,None,Y
SCO,SchematicObject,Objects for Refinery Schematics,None,Y
PG,PlotGroup,Group of tags for pre-defined plots,None,Y
PMP,Pump,Pump,None,Y
T,Train,Railroad train,None,Y
CT,Container,Shipping Container,None,Y
End
