Table,vertex,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence,2ndTable,2ndField,2ndEquivalence
tag_id,tag,id,name,tag,tag_type_code,tag_type_code
Data,,,
tag_id,seq_no,latitude,longitude
TFPCom011|SCO,0,171.0,142.0
TFPCom011|SCO,1,171.0,254.0
CT2RU1a-P|P,0,39.584043,-75.62722
CT2RU1a-P|P,1,39.584015,-75.623065
CT2RU1b-P|P,0,39.581824,-75.627114
CT2RU1b-P|P,1,39.581879,-75.623136
CT2RU2a-P|P,0,39.583988,-75.627185
CT2RU2a-P|P,1,39.583988,-75.6231
CT2RU2b-P|P,0,39.581797,-75.627044
CT2RU2b-P|P,1,39.581797,-75.623312
CT2RU1-P|P,0,39.58396,-75.634579
CT2RU1-P|P,1,39.58396,-75.633065
CT2RU1-P|P,2,39.586617,-75.633065
CT2RU1-P|P,3,39.586726,-75.62303
CT2RU1-P|P,4,39.581824,-75.6231
CT2RU2-P|P,0,39.586726,-75.634192
CT2RU2-P|P,1,39.586699,-75.62303
CT2RU2-P|P,2,39.581824,-75.623136
CTPipe011|SCO,0,142.0,154.0
CTPipe011|SCO,2,142.0,168.0
CTPipe011|SCO,4,196.0,168.0
CTPipe012|SCO,0,169.0,153.0
CTPipe012|SCO,2,169.0,180.0
CTPipe012|SCO,4,214.0,180.0
CTPipe021|SCO,0,254.0,154.0
CTPipe021|SCO,2,254.0,168.0
CTPipe021|SCO,4,196.0,168.0
CTPipe022|SCO,0,279.0,153.0
CTPipe022|SCO,2,279.0,180.0
CTPipe022|SCO,4,214.0,180.0
CTPipe031|SCO,0,322.0,154.0
CTPipe031|SCO,2,322.0,168.0
CTPipe031|SCO,4,378.0,168.0
CTPipe032|SCO,0,349.0,153.0
CTPipe032|SCO,2,349.0,180.0
CTPipe032|SCO,4,388.0,180.0
CTPipe041|SCO,0,442.0,154.0
CTPipe041|SCO,2,442.0,168.0
CTPipe041|SCO,4,378.0,168.0
CTPipe042|SCO,0,470.0,153.0
CTPipe042|SCO,2,470.0,180.0
CTPipe042|SCO,4,386.0,180.0
CTPipe051|SCO,0,143.0,338.0
CTPipe051|SCO,2,143.0,350.0
CTPipe051|SCO,4,194.0,350.0
CTPipe052|SCO,0,169.0,337.0
CTPipe052|SCO,2,169.0,362.0
CTPipe052|SCO,4,210.0,362.0
CTPipe061|SCO,0,253.0,338.0
CTPipe061|SCO,2,253.0,350.0
CTPipe061|SCO,4,197.0,350.0
CTPipe062|SCO,0,278.0,337.0
CTPipe062|SCO,2,278.0,362.0
CTPipe062|SCO,4,214.0,362.0
CTPipe071|SCO,0,323.0,338.0
CTPipe071|SCO,2,323.0,350.0
CTPipe071|SCO,4,374.0,350.0
CTPipe072|SCO,0,349.0,337.0
CTPipe072|SCO,2,349.0,362.0
CTPipe072|SCO,4,384.0,362.0
CTPipe081|SCO,0,442.0,338.0
CTPipe081|SCO,2,442.0,350.0
CTPipe081|SCO,4,378.0,350.0
CTPipe082|SCO,0,470.0,337.0
CTPipe082|SCO,2,470.0,362.0
CTPipe082|SCO,4,388.0,362.0
CTPipe091|SCO,0,143.0,524.0
CTPipe091|SCO,2,143.0,536.0
CTPipe091|SCO,4,194.0,536.0
CTPipe092|SCO,0,169.0,524.0
CTPipe092|SCO,2,169.0,549.0
CTPipe092|SCO,4,209.0,549.0
CTPipe101|SCO,0,253.0,524.0
CTPipe101|SCO,2,253.0,536.0
CTPipe101|SCO,4,197.0,536.0
CTPipe102|SCO,0,278.0,524.0
CTPipe102|SCO,2,278.0,549.0
CTPipe102|SCO,4,214.0,549.0
CTPipe111|SCO,0,323.0,524.0
CTPipe111|SCO,2,323.0,536.0
CTPipe111|SCO,4,374.0,536.0
CTPipe112|SCO,0,349.0,524.0
CTPipe112|SCO,2,349.0,549.0
CTPipe112|SCO,4,384.0,549.0
CTPipe121|SCO,0,443.0,524.0
CTPipe121|SCO,2,443.0,536.0
CTPipe121|SCO,4,378.0,536.0
CTPipe122|SCO,0,470.0,524.0
CTPipe122|SCO,2,470.0,549.0
CTPipe122|SCO,4,388.0,549.0
TFPRU1-0|SCO,0,52.0,53.0
TFPRU1-0|SCO,2,87.0,53.0
TFPRU1-0|SCO,4,87.0,601.0
TFPRU1-0|SCO,6,197.0,601.0
TFPRU1-3|SCO,0,195.0,600.0
TFPRU1-3|SCO,2,195.0,171.0
TFPRU1-4|SCO,0,376.0,171.0
TFPRU1-4|SCO,2,376.0,600.0
TFPRU2-0|SCO,0,52.0,530.0
TFPRU2-0|SCO,2,72.0,530.0
TFPRU2-0|SCO,4,72.0,616.0
TFPRU2-0|SCO,6,214.0,616.0
CDP-CT01|SCO,0,161.0,122.0
CDP-CT01|SCO,2,161.0,150.0
CDP-CT01|SCO,4,202.0,150.0
CDP-CT02|SCO,0,268.0,122.0
CDP-CT02|SCO,2,268.0,150.0
CDP-CT02|SCO,4,202.0,150.0
CDP-CT05|SCO,0,161.0,306.0
CDP-CT05|SCO,2,161.0,334.0
CDP-CT05|SCO,4,202.0,334.0
CDP-CT09|SCO,0,161.0,492.0
CDP-CT09|SCO,2,161.0,520.0
CDP-CT09|SCO,4,202.0,520.0
CDP-D1-1|SCO,0,41.0,36.0
CDP-D1-1|SCO,2,95.0,36.0
CDP-D1-1|SCO,4,95.0,205.0
CDP-D2-1|SCO,0,40.0,206.0
CDP-D2-1|SCO,2,95.0,206.0
CDP-D2-3|SCO,0,95.0,206.0
CDP-D2-3|SCO,2,95.0,404.0
CDP-D3-1|SCO,0,40.0,405.0
