Table,analog_input,,,
ConstraintTable,ConstraintField,ColumnConstrained,ColumnEquivalence
tag,id,name,tag_id
Data,,,
tag_id,type_code,scan_int,scan_offset,zero_value,max_value,hist_type_code,percent,hh,hi,ll,lo
DCT-0000,T,5,0,0,100,L,2,120.0000,95.0000,25.0000,35.0000
DCP-0000,P,5,0,0,100,L,2,,,,
DCR-0000,R,5,0,0,100,L,2,,,,
DCM-0000,M,5,0,0,100,L,2,,,,
DCL-0101,L,1,0,0,100,L,2,39.0000,32.0000,5.0000,10.0000
DCL-0102,L,1,0,0,100,L,2,39.0000,32.0000,5.0000,10.0000
DCL-0103,L,1,0,0,100,L,2,39.0000,32.0000,5.0000,10.0000
DCL-0104,L,1,0,0,100,L,2,39.0000,32.0000,5.0000,10.0000
DCL-0105,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0106,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0107,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0108,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0109,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0110,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0111,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCL-0112,L,1,0,0,100,L,2,47.0000,42.0000,5.0000,10.0000
DCT-0101,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0102,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0103,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0104,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0105,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0106,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0107,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0108,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0109,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0110,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0111,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
DCT-0112,T,1,0,0,100,L,2,120.0000,95.0000,45.0000,50.0000
End
