Table,config,,
ConstraintTable,ConstraintField,ConstraintEquivalent,ColumnConstrained
Data
item_name,item_value
NORMCOLOR,green
HHCOLOR,red
HICOLOR,yellow
LOCOLOR,yellow
LLCOLOR,red
SITE,DeCity
CURRENT_TEMP,DCT-0000
CURRENT_PRESSURE,DCP-0000
CURRENT_WIND_DIR,DCM-0000
CURRENT_WIND_SPEED,DCR-0000
LOGGER_LEVEL,DEBUG
UI_LOG_DIRECTORY,/home/allan/oms/ui/www/logs
KEY,e3254c83d773f4b0acbfbc3234a37
GASOLINE-PERCENT,47.1
FUEL-OIL-PERCENT,30.9
JET-FUEL-PERCENT,9.9
NAPTHA-PERCENT,2.2
LUBRICANTS-PERCENT,1
WAXES-PERCENT,0
COKE-PERCENT,5.3
ASPHALT-PERCENT,1.9
STILLGAS-PERCENT,4.2
End
