Table,rel_tag_tag,,
ConstraintTable,ConstraintField,ColumnEquivalent,ColumnConstrained
tag,id,name,parent_tag_id
tag,id,name,child_tag_id
Data,,,
parent_tag_id,key_id,child_tag_id,tag_identifier
SB1P-002,,RU1CP-DI,,
SB1P-003,,RU1GP-DI,,
SB1P-004,,RU1FOP-DI,,
SB2P-001,,RU1JP-DI,,
SB2P-002,,RU1RFP-DI,,
SB2P-003,,RU1LRP-DI,,
SB2P-004,,RU1AP-DI,,
RU1C-P,,RU1LP-DI,,
RU1G-P,,RU2CP-DI,,
RU1FO-P,,RU2GP-DI,,
RU1J-P,,RU2FOP-DI,,
RU1RF-P,,RU2JP-DI,,
RU1LR-P,,RU2RFP-DI,,
RU1A-P,,RU2LRP-DI,,
RU1L-P,,RU2AP-DI,,
RU2C-P,,RU2LP-DI,,
RU2G-P,,SB1P2-DI,,
RU2FO-P,,SB1P3-DI,,
RU2J-P,,SB1P4-DI,,
RU2RF-P,,SB2P1-DI,,
RU2LR-P,,SB2P2-DI,,
RU2A-P,,SB2P3-DI,,
RU2L-P,,SB2P4-DI,,
SB1P-002,,RU1CP-DO,,
SB1P-003,,RU1GP-DO,,
SB1P-004,,RU1FOP-DO,,
SB2P-001,,RU1JP-DO,,
SB2P-002,,RU1RFP-DO,,
SB2P-003,,RU1LRP-DO,,
SB2P-004,,RU1AP-DO,,
RU1C-P,,RU1LP-DO,,
RU1G-P,,RU2CP-DO,,
RU1FO-P,,RU2GP-DO,,
RU1J-P,,RU2FOP-DO,,
RU1RF-P,,RU2JP-DO,,
RU1LR-P,,RU2RFP-DO,,
RU1A-P,,RU2LRP-DO,,
RU1L-P,,RU2AP-DO,,
RU2C-P,,RU2LP-DO,,
RU2G-P,,SB1P2-DO,,
RU2FO-P,,SB1P3-DO,,
RU2J-P,,SB1P4-DO,,
RU2RF-P,,SB2P1-DO,,
RU2LR-P,,SB2P2-DO,,
RU2A-P,,SB2P3-DO,,
RU2L-P,,SB2P4-DO,,
SB1P-002,,RU1CP-AO,,
SB1P-003,,RU1GP-AO,,
SB1P-004,,RU1FOP-AO,,
SB2P-001,,RU1JP-AO,,
SB2P-002,,RU1RFP-AO,,
SB2P-003,,RU1LRP-AO,,
SB2P-004,,RU1AP-AO,,
RU1C-P,,RU1LP-AO,,
RU1G-P,,RU2CP-AO,,
RU1FO-P,,RU2GP-AO,,
RU1J-P,,RU2FOP-AO,,
RU1RF-P,,RU2JP-AO,,
RU1LR-P,,RU2RFP-AO,,
RU1A-P,,RU2LRP-AO,,
RU1L-P,,RU2AP-AO,,
RU2C-P,,RU2LP-AO,,
RU2G-P,,SB1P2-AO,,
RU2FO-P,,SB1P3-AO,,
RU2J-P,,SB1P4-AO,,
RU2RF-P,,SB2P1-AO,,
RU2LR-P,,SB2P2-AO,,
RU2A-P,,SB2P3-AO,,
RU2L-P,,SB2P4-AO,,
End
