Table,tank,,
Constraint,Table,Constraint Field,Column Constrained
tag,id,name,tag_id
Data,,,
id,api,density,height,diameter,units
DCTK-0101,32.6,0.862,40.0000,300.000000,f
DCTK-0102,32.6,0.862,40.0000,300.000000,f
DCTK-0103,32.6,0.862,40.0000,300.000000,f
DCTK-0104,32.6,0.862,40.0000,300.000000,f
DCTK-0105,32.6,0.862,50.0000,250.000000,f
DCTK-0106,32.6,0.862,50.0000,250.000000,f
DCTK-0107,32.6,0.862,50.0000,250.000000,f
DCTK-0108,32.6,0.862,50.0000,250.000000,f
DCTK-0109,32.6,0.862,50.0000,250.000000,f
DCTK-0110,32.6,0.862,50.0000,250.000000,f
DCTK-0111,32.6,0.862,50.0000,250.000000,f
DCTK-0112,32.6,0.862,50.0000,250.000000,f
End
