Table,vertex,,
ConstraintTable,ConstraintField,ConstraintEquivalent,ColumnConstrained
tag,id,name,obj_id
Data,,,
obj_id,seq_no,latitude,longitude
StCroix,1,17.714728,-64.740719
StCroix,2,17.714728,-64.767769
StCroix,3,17.700800,-64.767769
StCroix,4,17.700800,-64.740719
Refined,1,39.592192,-75.629604
Refined,2,39.592192,-75.620292
Refined,3,39.587522,-75.620292
Refined,4,39.587457,-75.629604
DeCity,1,39.592747,-75.646799
DeCity,2,39.576419,-75.646799
DeCity,3,39.576419,-75.619079
DeCity,4,39.592747,-75.619079
Crude,1,39.585497,-75.628608
Crude,2,39.585497,-75.623150
Crude,3,39.581285,-75.623237
Crude,4,39.581187,-75.628694
End
